Categories,Total Sucides,Gender
No Education,11582,Male
Primary (up to class-5th),15932,Male
Middle (up to class-8th),19492,Male
Matriculate/ Secondary/(up to class-10th),23340,Male
Hr. Secondary/ Intermediate/Pre-University (up to class-12th),13825,Male
Diploma/ Certificate/ ITI,1348,Male
Graduate and above,3726,Male
Professionals (MBA etc.),242,Male
Status Not known,8126,Male
No Education,6004,Female
Primary (up to class-5th),6712,Female
Middle (up to class-8th),7829,Female
Matriculate/ Secondary/(up to class-10th),9082,Female
Hr. Secondary/ Intermediate/Pre-University (up to class-12th),5681,Female
Diploma/ Certificate/ ITI,360,Female
Graduate and above,1458,Female
Professionals (MBA etc.),93,Female
Status Not known,4274,Female
