Categories,Total Sucides,Gender
House wife,0,Male
Professionals/Salaried Persons,9265,Male
Students,4687,Male
Unemployed Persons,9381,Male
Self-employed Persons,11124,Male
Persons Engaged in Farming Sector,11584,Male
Daily Wage Earner,20409,Male
Retired Persons,912,Male
Other Persons,24166,Male
House wife,22293,Female
Professionals/Salaried Persons,1306,Female
Students,4247,Female
Unemployed Persons,1529,Female
Self-employed Persons,1061,Female
Persons Engaged in Farming Sector,1018,Female
Daily Wage Earner,3388,Female
Retired Persons,103,Female
Other Persons,7143,Female
