Categories,Total Sucides,Gender
House wife,0,Male
Professionals/Salaried Persons,9127,Male
Students,4842,Male
Unemployed Persons,9250,Male
Self-employed Persons,12341,Male
Persons Engaged in Farming Sector,10471,Male
Daily Wage Earner,21902,Male
Retired Persons,913,Male
Other Persons,20151,Male
House wife,21563,Female
Professionals/Salaried Persons,1216,Female
Students,4635,Female
Unemployed Persons,1920,Female
Self-employed Persons,1165,Female
Persons Engaged in Farming Sector,908,Female
Daily Wage Earner,3257,Female
Retired Persons,126,Female
Other Persons,7207,Female
