,State,Total,id
0,Andhra Pradesh,6059,28
1,Arunachal Pradesh,121,12
2,Assam,3023,18
3,Bihar,411,10
4,Chhattisgarh,6705,22
5,Goa,273,25
6,Gujarat,7732,24
7,Haryana,3665,6
8,Himachal Pradesh,642,2
9,Jammu & Kashmir,329,1
10,Jharkhand,1292,20
11,Karnataka,10687,29
12,Kerala,7705,32
13,Madhya Pradesh,10442,23
14,Maharashtra,17192,27
15,Manipur,37,14
16,Meghalaya,166,17
17,Mizoram,124,15
18,Nagaland,34,13
19,Odisha,3904,21
20,Punjab,1440,3
21,Rajasthan,3677,8
22,Sikkim,263,11
23,Tamil Nadu,15177,33
24,Telangana,9017,0
25,Tripura,677,16
26,Uttar Pradesh,3518,9
27,Uttarakhand,152,5
28,West Bengal,13451,19
29,A & N Islands,146,35
30,Chandigarh,123,22
31,D & N Haveli,55,26
32,Daman & Diu,36,25
33,Delhi (UT),2155,7
34,Lakshadweep,3,31
35,Puducherry,561,34
