State,Total,id
ANDHRA PRADESH,6226,28
ARUNACHAL PRADESH,135,12
ASSAM,3231,18
BIHAR,516,10
CHHATTISGARH,7117,22
GOA,302,25
GUJARAT,7246,24
HARYANA,3545,6
HIMACHAL PRADESH,543,2
JAMMU & KASHMIR,372,1
JHARKHAND,835,20
KARNATAKA,10786,29
KERALA,7692,32
MADHYA PRADESH,10293,23
MAHARASHTRA,16968,27
MANIPUR,37,14
MEGHALAYA,172,17
MIZORAM,123,15
NAGALAND,21,13
ODISHA,4087,21
PUNJAB,1049,3
RAJASTHAN,3457,8
SIKKIM,241,11
TAMIL NADU,15775,33
TELANGANA,10138,0
TRIPURA,746,16
UTTAR PRADESH,3902,9
UTTARAKHAND,475,5
WEST BENGAL,14602,19
A & N ISLANDS,158,35
CHANDIGARH,121,22
D & N HAVELI,106,26
DAMAN & DIU,38,25
DELHI (UT),1845,7
LAKSHADWEEP,5,31
PUDUCHERRY,711,34
