,State,Total,id
0,Andhra Pradesh,5350,28
1,Arunachal Pradesh,89,12
2,Assam,2276,18
3,Bihar,388,10
4,Chhattisgarh,6312,22
5,Goa,273,25
6,Gujarat,7417,24
7,Haryana,3387,6
8,Himachal Pradesh,576,2
9,Jammu & Kashmir,287,1
10,Jharkhand,1214,20
11,Karnataka,11715,29
12,Kerala,7870,32
13,Madhya Pradesh,11770,23
14,Maharashtra,17645,27
15,Manipur,43,14
16,Meghalaya,165,17
17,Mizoram,91,15
18,Nagaland,33,13
19,Odisha,4493,21
20,Punjab,1481,3
21,Rajasthan,3838,8
22,Sikkim,214,11
23,Tamil Nadu,14453,33
24,Telangana,7620,0
25,Tripura,692,16
26,Uttar Pradesh,4426,9
27,Uttarakhand,331,5
28,West Bengal,12013,19
29,A & N Islands,139,35
30,Chandigarh,113,22
31,D & N Haveli,75,26
32,Daman & Diu,41,25
33,Delhi (UT),2460,7
34,Lakshadweep,0,31
35,Puducherry,581,34
