,State,Total,id
0,Andhra Pradesh,5317,28
1,Arunachal Pradesh,132,12
2,Assam,2379,18
3,Bihar,443,10
4,Chhattisgarh,7046,22
5,Goa,256,25
6,Gujarat,7793,24
7,Haryana,3547,6
8,Himachal Pradesh,740,2
9,Jammu & Kashmir,330,1
10,Jharkhand,1317,20
11,Karnataka,11558,29
12,Kerala,8237,32
13,Madhya Pradesh,11774,23
14,Maharashtra,17971,27
15,Manipur,52,14
16,Meghalaya,189,17
17,Mizoram,79,15
18,Nagaland,36,13
19,Odisha,4592,21
20,Punjab,1713,3
21,Rajasthan,4332,8
22,Sikkim,199,11
23,Tamil Nadu,13894,33
24,Telangana,7845,0
25,Tripura,720,16
26,Uttar Pradesh,4849,9
27,Uttarakhand,421,5
28,West Bengal,13255,19
29,A & N Islands,164,35
30,Chandigarh,160,22
31,D & N Haveli,101,26
32,Daman & Diu,35,25
33,Delhi (UT),2526,7
34,Lakshadweep,3,31
35,Puducherry,500,34
