Categories,Total Sucides,Gender
By Consuming Sleeping Pills,487,Male
By Drowning,4986,Male
By Fire/Self Immolation,1937,Male
By Firearms,303,Male
By Hanging,54198,Male
By Poison,24594,Male
By Self Inflicting  Injury,594,Male
Jumping,1587,Male
By Coming under Running Vehicles/Trains,2891,Male
By Touching Electric Wire,590,Male
By Other Means,5446,Male
By Consuming Sleeping Pills,266,Female
By Drowning,2222,Female
By Fire/Self Immolation,3295,Female
By Firearms,125,Female
By Hanging,20420,Female
By Poison,11284,Female
By Self Inflicting  Injury,234,Female
Jumping,447,Female
By Coming under Running Vehicles/Trains,446,Female
By Touching Electric Wire,162,Female
By Other Means,2592,Female
